ciudad,codigo_divipola,departamento,lat,lon,anio,valor_pesos,indice_base100,poblacion,fuente_url,fuente_poblacion_url
Medellín,05001,Antioquia,6.246631,-75.581775,2025,600972,109.13,3955810,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Barranquilla,08001,Atlántico,10.977961,-74.815546,2025,498721,90.56,2000421,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Bogotá,11001,"Bogotá, D.C.",4.649251,-74.106992,2025,660533,119.94,7912359,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Cartagena,13001,Bolívar,10.385126,-75.496269,2025,524805,95.3,903881,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Tunja,15001,Boyacá,5.539880,-73.355539,2025,620017,112.58,181551,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Manizales,17001,Caldas,5.057657,-75.491025,2025,548137,99.53,511105,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Florencia,18001,Caquetá,1.618196,-75.609831,2025,540401,98.13,163675,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Popayán,19001,Cauca,2.459641,-76.599377,2025,617310,112.09,289308,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Valledupar,20001,Cesar,10.460472,-73.259398,2025,488369,88.68,540530,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Montería,23001,Córdoba,8.759789,-75.873096,2025,490431,89.05,450188,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Quibdó,27001,Chocó,5.682166,-76.638144,2025,585168,106.26,121595,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Neiva,41001,Huila,2.935432,-75.277327,2025,590023,107.14,376767,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Riohacha,44001,La Guajira,11.528588,-72.911795,2025,413433,75.07,153756,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Santa Marta,47001,Magdalena,11.204679,-74.199829,2025,490202,89.01,521897,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Villavicencio,50001,Meta,4.126369,-73.622601,2025,531554,96.52,537605,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Pasto,52001,Nariño,1.212352,-77.278795,2025,575607,104.52,315662,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Cúcuta,54001,Norte de Santander,7.905725,-72.508178,2025,498198,90.46,1013148,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Armenia,63001,Quindío,4.535980,-75.680786,2025,588462,106.85,298425,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Pereira,66001,Risaralda,4.804985,-75.719711,2025,590723,107.26,668314,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Bucaramanga,68001,Santander,7.116470,-73.132562,2025,670169,121.69,1222019,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
Sincelejo,70001,Sucre,9.302322,-75.395445,2025,475951,86.42,289318,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/censo2018/proyecciones-de-poblacion/Municipal/PPED-AreaMun-2018-2042_VP.xlsx
