anio,ciudad,codigo_divipola,departamento,valor_pesos,indice_base100,poblacion_dominio,poblacion_nucleo,es_area_metropolitana,base_pesos_anio,fuente_url
2021,Bucaramanga,68001,Santander,481836,119.79,1191784,596738,si,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Bogotá,11001,"Bogotá, D.C.",477217,118.64,7777174,7777174,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Popayán,19001,Cauca,461665,114.77,278480,278480,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Tunja,15001,Boyacá,459403,114.21,173621,173621,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Medellín,05001,Antioquia,438599,109.04,3844732,2459249,si,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Neiva,41001,Huila,438521,109.02,354311,354311,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Quibdó,27001,Chocó,431594,107.30,116754,116754,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Pereira,66001,Risaralda,430620,107.06,646417,400608,si,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Armenia,63001,Quindío,429892,106.87,294093,294093,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Pasto,52001,Nariño,427803,106.36,311908,311908,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Manizales,17001,Caldas,410211,101.98,487350,426589,si,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Ibagué,73001,Tolima,407790,101.38,503277,503277,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Villavicencio,50001,Meta,397579,98.84,518043,518043,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Florencia,18001,Caquetá,393613,97.86,155196,155196,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Cali,76001,Valle del Cauca,376796,93.67,2326348,2229795,si,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Cartagena,13001,Bolívar,376426,93.58,901144,901144,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Santa Marta,47001,Magdalena,368154,91.53,492743,492743,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Barranquilla,08001,Atlántico,359394,89.35,1940403,1271047,si,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Valledupar,20001,Cesar,353150,87.80,487350,487350,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Montería,23001,Córdoba,350058,87.03,415847,415847,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Cúcuta,54001,Norte de Santander,349507,86.89,984707,748409,si,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Sincelejo,70001,Sucre,329776,81.99,268457,268457,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2021,Riohacha,44001,La Guajira,301888,75.05,145050,145050,no,402239,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2022.pdf
2022,Bucaramanga,68001,Santander,547356,120.02,1200097,599666,si,456046,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2023.pdf
2022,Bogotá,11001,"Bogotá, D.C.",536108,117.56,7820740,7820740,no,456046,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2023.pdf
2022,Tunja,15001,Boyacá,528245,115.83,175752,175752,no,456046,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2023.pdf
2022,Popayán,19001,Cauca,514788,112.88,281495,281495,no,456046,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2023.pdf
2022,Neiva,41001,Huila,492824,108.06,359970,359970,no,456046,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2023.pdf
2022,Medellín,05001,Antioquia,492104,107.91,3875338,2466239,si,456046,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2023.pdf
2022,Quibdó,27001,Chocó,489409,107.32,117981,117981,no,456046,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2023.pdf
