ciudad,codigo_divipola,anio_mes,ipc_indice_base2018,var_mensual,var_anual,fuente_url
Armenia,63001,2023-09,140.77,0.76,10.78,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2023-10,141.08,0.22,10.26,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2023-11,142.03,0.67,10.03,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2023-12,142.31,0.2,8.61,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-01,143.79,1.04,7.69,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-02,145.53,1.21,7.49,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-03,146.04,0.35,6.81,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-04,146.77,0.5,6.5,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-05,147.28,0.35,6.75,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-06,147.83,0.37,6.75,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-07,148.52,0.47,6.9,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-08,148.46,-0.04,6.27,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-09,148.61,0.1,5.57,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-10,148.67,0.04,5.38,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-11,149.46,0.53,5.23,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2024-12,150.16,0.47,5.52,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-01,151.68,1.01,5.49,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-02,153.2,1.0,5.27,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
Armenia,63001,2025-03,153.92,0.47,5.39,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-CiudadesMensuales-ago2026.xlsx
