ciudad,codigo_divipola,indice_lineapobreza_base100,dep_bogota1000,dep_reescalado_base100,brecha_puntos,dominio_es_area_metropolitana,nota_dep,fuente_url_nivel,fuente_url_dep
Medellín,05001,109.13,0.959,102.11,+7.02,si,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Barranquilla,08001,90.56,0.933,99.34,-8.78,si,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Bogotá,11001,119.94,1.000,106.47,+13.47,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Cartagena,13001,95.30,0.883,94.01,+1.28,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Tunja,15001,112.58,0.949,101.04,+11.54,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Manizales,17001,99.53,0.980,104.34,-4.81,si,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Florencia,18001,98.13,0.925,98.49,-0.36,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Popayán,19001,112.09,1.023,108.92,+3.17,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Valledupar,20001,88.68,0.895,95.29,-6.61,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Montería,23001,89.05,0.928,98.81,-9.75,no,,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
Quibdó,27001,106.26,0.871,92.74,+13.52,no,imputado con el índice de Riohacha por tamaño de muestra,https://www.dane.gov.co/files/operaciones/PM/pres-PM-2025.pdf,https://www.dane.gov.co/files/investigaciones/condiciones_vida/pobreza/2019/pobreza_monetaria_actualizacion_metodologica_2019-nuevas-lineas.pdf
