mes,etapa,oportunidades,avanzaron,tasa_conversion_pct
2025-01,Prospección,116,51,43.7
2025-01,Calificación,51,27,53.6
2025-01,Propuesta,27,13,48.1
2025-01,Negociación,13,7,54
2025-01,Cierre,7,7,100
2025-02,Prospección,114,47,41.3
2025-02,Calificación,47,25,52.9
2025-02,Propuesta,25,12,47
2025-02,Negociación,12,7,56.8
2025-02,Cierre,7,7,100
2025-03,Prospección,127,57,44.7
2025-03,Calificación,57,31,54.9
2025-03,Propuesta,31,14,46.7
2025-03,Negociación,14,8,57
2025-03,Cierre,8,8,100
2025-04,Prospección,128,59,46.5
2025-04,Calificación,59,34,58.1
2025-04,Propuesta,34,16,46.6
2025-04,Negociación,16,9,54.1
2025-04,Cierre,9,9,100
2025-05,Prospección,116,52,45.1
2025-05,Calificación,52,30,56.8
2025-05,Propuesta,30,15,49
2025-05,Negociación,15,8,53.1
2025-05,Cierre,8,8,100
2025-06,Prospección,129,56,43.1
2025-06,Calificación,56,32,57.3
2025-06,Propuesta,32,16,48.8
2025-06,Negociación,16,8,52.1
2025-06,Cierre,8,8,100
2025-07,Prospección,121,57,47.4
2025-07,Calificación,57,33,57.2
2025-07,Propuesta,33,16,49
2025-07,Negociación,16,9,54.6
2025-07,Cierre,9,9,100
2025-08,Prospección,110,48,43.6
2025-08,Calificación,48,26,54.4
2025-08,Propuesta,26,12,46.5
2025-08,Negociación,12,7,55.4
2025-08,Cierre,7,7,100
2025-09,Prospección,101,48,47.4
2025-09,Calificación,48,27,56.1
2025-09,Propuesta,27,12,45.9
2025-09,Negociación,12,6,52.8
2025-09,Cierre,6,6,100
2025-10,Prospección,120,51,42.3
2025-10,Calificación,51,30,58.2
2025-10,Propuesta,30,14,45.7
2025-10,Negociación,14,8,57.4
2025-10,Cierre,8,8,100
2025-11,Prospección,129,61,47.3
2025-11,Calificación,61,33,54.5
2025-11,Propuesta,33,16,47.3
2025-11,Negociación,16,9,55.2
2025-11,Cierre,9,9,100
2025-12,Prospección,113,52,45.7
2025-12,Calificación,52,26,50.2
2025-12,Propuesta,26,13,49.2
2025-12,Negociación,13,7,51.6
2025-12,Cierre,7,7,100
2026-01,Prospección,140,63,45.2
2026-01,Calificación,63,34,54.7
2026-01,Propuesta,34,16,46.5
2026-01,Negociación,16,9,59.1
2026-01,Cierre,9,9,100
2026-02,Prospección,100,45,45
2026-02,Calificación,45,26,57.7
2026-02,Propuesta,26,13,50.4
2026-02,Negociación,13,7,55.7
2026-02,Cierre,7,7,100
2026-03,Prospección,126,61,48.2
2026-03,Calificación,61,33,54.7
2026-03,Propuesta,33,16,47.2
2026-03,Negociación,16,9,53.7
2026-03,Cierre,9,9,100
2026-04,Prospección,124,58,46.8
2026-04,Calificación,58,33,56.3
2026-04,Propuesta,33,12,37.4
2026-04,Negociación,12,7,57.6
2026-04,Cierre,7,7,100
2026-05,Prospección,107,48,45
2026-05,Calificación,48,27,55.5
2026-05,Propuesta,27,9,34.5
2026-05,Negociación,9,5,54.6
2026-05,Cierre,5,5,100
2026-06,Prospección,112,47,41.7
2026-06,Calificación,47,25,53.2
2026-06,Propuesta,25,9,37.7
2026-06,Negociación,9,5,55.6
2026-06,Cierre,5,5,100
