Fecha,Ventas_Millones,Costos_Millones,Margen_Millones,FlujoCaja_Millones,Unidades,Precio_Promedio,Activos_Corrientes,Pasivos_Corrientes
2022-01,104.34,71.84,32.5,30.16,855,111.39,102542.0,144291.0
2022-02,113.3,73.4,39.89,35.48,894,109.25,110789.0,82320.0
2022-03,110.85,74.43,36.42,33.61,897,108.6,103143.0,101879.0
2022-04,116.14,81.86,34.28,33.5,946,112.96,163641.0,120302.0
2022-05,119.37,79.42,39.95,35.48,959,111.8,131436.0,86363.0
2022-06,131.61,90.81,40.79,37.01,995,112.71,150857.0,147178.0
2022-07,125.84,88.12,37.72,34.43,1048,112.42,190757.0,146245.0
2022-08,130.07,89.17,40.9,37.39,1037,112.07,124929.0,75178.0
2022-09,133.96,87.42,46.54,38.6,993,116.08,141038.0,99725.0
2022-10,119.41,80.4,39.0,31.44,945,114.32,175555.0,80088.0
2022-11,128.33,92.3,36.04,30.6,980,117.71,122880.0,78484.0
2022-12,135.62,86.73,48.89,44.41,1026,117.25,107698.0,53689.0
2023-01,130.27,87.87,42.41,39.34,956,116.48,128975.0,110956.0
2023-02,130.3,87.16,43.13,37.68,1008,116.13,116122.0,100268.0
2023-03,127.55,87.05,40.51,39.25,974,117.12,192970.0,55148.0
2023-04,131.86,91.64,40.22,35.91,1007,117.12,180812.0,77865.0
2023-05,157.77,112.36,45.41,40.91,1100,121.65,163340.0,140827.0
2023-06,156.6,105.64,50.96,45.37,1108,119.91,187146.0,73956.0
2023-07,161.43,112.4,49.04,44.46,1153,121.67,180367.0,64489.0
2023-08,154.84,106.84,48.0,44.89,1140,119.34,118657.0,98945.0
2023-09,152.27,104.99,47.28,44.13,1092,121.65,189256.0,148565.0
2023-10,152.83,102.2,50.63,43.29,1064,123.41,153934.0,74206.0
2023-11,141.39,93.32,48.06,46.92,1045,122.17,180744.0,117214.0
2023-12,162.06,106.63,55.42,46.85,1128,124.38,189609.0,126162.0
2024-01,134.86,89.66,45.2,40.85,1002,122.41,131800.0,73764.0
2024-02,145.25,99.7,45.55,40.37,1062,122.65,111005.0,122822.0
2024-03,157.31,109.36,47.95,40.64,1092,125.31,122794.0,86778.0
2024-04,149.35,102.52,46.82,41.97,1088,124.97,142711.0,113231.0
2024-05,169.05,113.1,55.95,48.28,1183,126.77,181801.0,113353.0
2024-06,170.55,122.14,48.42,43.75,1234,124.2,186073.0,103577.0
2024-07,179.82,127.74,52.08,47.92,1249,128.0,100695.0,59029.0
2024-08,169.92,114.34,55.58,54.11,1206,130.83,151075.0,133530.0
2024-09,159.64,105.92,53.71,49.17,1138,128.26,141741.0,82078.0
2024-10,160.55,109.59,50.96,44.31,1117,128.9,122211.0,68652.0
2024-11,164.84,116.27,48.57,42.76,1107,129.64,111987.0,54078.0
2024-12,169.71,116.53,53.18,48.23,1179,127.77,133762.0,109089.0
